代码,基金,基金简称,日期,单位净值,累计净值,日增长率,近1周,近1月,近3月,近6月,近1年,近2年,近3年,今年来,成立来,成立日,,,,,,手续费,,
920002,中金精选股票A,ZJJXGPA,2021-11-01,2.0020,5.8212,0.56,-1.73,-0.57,0.29,-10.68,0.78,,,-10.99,5.03,2020-08-04,1,3.9202,1.50%,1.50%,99,1.50%,99,
900152,中信证券臻选回报混合C,ZXZQZXHBHHC,2021-11-01,1.2161,1.2161,-0.53,0.99,4.49,0.04,-2.13,9.26,,,1.62,10.18,2020-10-15,1,7.2797,,0.00%,,,,
900133,中信证券品质生活混合C,ZXZQPZSHHHC,2021-11-01,1.0791,3.8837,-0.08,2.69,6.43,0,,,,,,-3.54,2021-07-16,1,-8.733351,,0.00%,,,,
900112,中信证券财富优选一年持有混合(FOF)C,ZXZQCFYXYNCYHHFOFC,2021-10-28,1.5136,2.6757,-0.85,0.09,1.40,4.08,,,,,,-1.94,2021-07-22,1,-2.759961,,0.00%,,,,
900100,中信卓越成长两年持有混合C,ZXZYCZLNCYHHC,2021-11-01,1.8785,3.5851,0.32,-1.73,1.14,-1.05,-13.17,6.52,,,-6.17,26.78,2020-06-01,1,4.6273,,0.00%,,,,
900099,中信证券红利价值B,ZXZQHLJZB,2021-11-01,2.0799,3.0366,-0.70,-0.27,4.98,-5.91,-5.06,4.47,58.31,,-4.70,63.49,2019-10-22,1,1.2980,1.50%,1.50%,99,1.50%,99,
900097,中信债券优化一年持有债C,ZXZQYHYNCYZC,2021-11-01,1.0794,1.9098,0.06,0.35,0.45,1.58,,,,,,2.18,2021-05-31,1,1.666036,,0.00%,,,,
900090,中信卓越成长两年持有混合B,ZXZYCZLNCYHHB,2021-11-01,1.8973,3.6039,0.32,-1.71,1.20,-0.87,-12.86,7.27,,,-5.63,28.05,2020-06-01,1,5.3557,1.50%,0.15%,1,0.15%,1,
900089,中信证券红利价值C,ZXZQHLJZC,2021-11-01,2.0465,3.0032,-0.71,-0.29,4.90,-6.11,-5.45,3.63,55.79,,-5.34,60.86,2019-10-22,1,0.4893,,0.00%,,,,
900087,中信证券信远一年持有混合C,ZXZQXYYNCYHHC,2021-11-01,0.8208,0.8208,-1.14,-2.75,-7.41,-8.37,6.97,,,,,8.46,2021-03-31,1,9.315539,,0.00%,,,,
900079,中信证券臻选价值成长混合C,ZXZQZXJZCZHHC,2021-11-01,1.5933,2.4117,-0.69,0.57,4.45,-1.44,-4.52,10.51,,,-2.59,39.27,2020-02-18,1,7.5228,,0.00%,,,,
