代码,基金,基金简称,日期,单位净值,累计净值,日增长率,近1周,近1月,近3月,近6月,近1年,近2年,近3年,今年来,成立来,成立日,,,,,,手续费,,
900078,中信证券稳健回报混合C,ZXZQWJHBHHC,2021-12-03,1.0657,1.8090,0.06,-2.10,-3.97,-18.94,-4.24,-9.74,,,-18.70,-10.27,2020-09-16,1,-7.5312,,0.00%,,,,
900077,中信证券信远一年持有混合B,ZXZQXYYNCYHHB,2021-12-03,0.8292,0.8292,0.21,-0.93,0.17,-12.87,5.46,,,,,9.57,2021-03-31,1,9.659091,1.50%,1.50%,99,1.50%,99,
900059,中信证券成长动力混合C,ZXZQCZDLHHC,2021-12-03,2.5687,3.5793,0.96,1.22,2.85,11.02,11.27,16.01,,,8.41,16.91,2020-11-25,1,6.453668,,0.00%,,,,
900052,中信证券臻选回报混合B,ZXZQZXHBHHB,2021-12-03,1.2038,1.2038,0.77,-0.19,-0.23,-0.07,-4.80,6.57,,,0.50,9.07,2020-10-15,1,7.9730,1.50%,1.50%,99,1.50%,99,
900039,中信证券六个月债券C,ZXZQLGYZQC,2021-12-03,1.0815,1.0815,0,0.06,0.52,0.45,1.85,4.73,7.12,,4.11,8.15,2019-08-22,1,3.8317,,0.00%,,,,
900030,中信证券量化优选C,ZXZQLHYXC,2021-12-03,1.3504,2.3494,0.38,0.04,0.66,-0.68,2.14,17.32,,,7.58,56.80,2020-05-22,1,20.9166,,0.00%,,,,
900029,中信证券量化优选A,ZXZQLHYXA,2021-12-03,1.3669,2.3659,0.37,0.06,0.72,-0.49,2.55,18.27,,,8.39,58.72,2020-05-22,1,21.8841,1.00%,0.10%,1,0.10%,1,
900019,中信证券六个月债券A,ZXZQLGYZQA,2021-12-03,1.0815,1.0815,0,0.06,0.52,0.93,2.26,4.97,7.12,,4.37,8.18,2019-08-22,1,3.5007,,0.00%,,,,
900015,中信证券债券增强六个月持有A,ZXZQZQZQLGYCYA,2021-12-03,1.0429,1.8478,0.20,0.18,0.42,,,,,,,0.54,2021-10-14,1,0,0.80%,0.80%,99,0.80%,99,
900013,中信证券品质生活混合A,ZXZQPZSHHHA,2021-12-03,1.1084,3.9130,0.92,1.15,2.85,7.47,,,,,,-0.92,2021-07-16,1,-8.599267,1.50%,1.50%,99,1.50%,99,
900012,中信证券财富优选一年持有混合(FOF)A,ZXZQCFYXYNCYHHFOFA,2021-12-01,1.5494,2.7115,-0.33,-0.12,1.60,2.67,,,,,,0.38,2021-07-22,1,-3.070943,1.00%,1.00%,99,1.00%,99,
900009,中信证券成长动力混合A,ZXZQCZDLHHA,2021-12-03,2.5878,3.5984,0.97,1.24,2.92,11.25,11.72,16.87,,,9.18,17.78,2020-11-25,1,7.127253,1.50%,1.50%,99,1.50%,99,
900008,中信证券稳健回报混合A,ZXZQWJHBHHA,2021-12-03,1.0757,1.8190,0.06,-2.09,-3.90,-18.78,-3.85,-9.02,,,-18.10,-9.43,2020-09-16,1,-6.7924,1.50%,1.50%,99,1.50%,99,
900007,中信债券优化一年持有债A,ZXZQYHYNCYZA,2021-12-03,1.0874,1.9178,0.12,0.17,0.59,0.83,3.22,,,,,2.93,2021-05-31,1,1.732298,0.80%,0.80%,99,0.80%,99,
900003,中信证券臻选价值成长混合A,ZXZQZXJZCZHHA,2021-12-03,1.5792,2.3976,0.80,-0.40,-0.35,-1.34,-7.90,5.03,,,-3.86,38.04,2020-02-18,1,8.3841,1.50%,1.50%,99,1.50%,99,
881011,招商资管睿丰三个月持有债C,ZSZGRFSGYCYZC,2021-12-03,1.0236,1.0236,0.01,0.04,0.27,0.60,1.44,,,,,2.36,2021-02-02,1,1.86,,0.00%,,,,
881010,招商资管睿丰三个月持有债A,ZSZGRFSGYCYZA,2021-12-03,1.0262,1.0262,0.01,0.04,0.29,0.67,1.58,,,,,2.62,2021-02-02,1,2.08,0.50%,0.05%,1,0.05%,1,
880007,招商资管智远成长灵活配置混合A,ZSZGZYCZLHPZHHA,2021-12-03,0.8950,2.3120,1.42,1.43,3.25,2.18,-4.30,-11.25,,,-9.90,-10.50,2020-10-13,1,-12.6700,1.20%,1.20%,99,1.20%,99,
